table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
system,__internal_logging,payload_logs,account_id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The Databricks account ID of the workspace associated with the serving endpoint.
system,__internal_logging,payload_logs,workspace_id,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The workspace ID for the workspace in which the serving endpoint exists.
system,__internal_logging,payload_logs,request_date,2,null,YES,date,DATE,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The UTC date on which the model serving request was received.
system,__internal_logging,payload_logs,databricks_request_id,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A Databricks generated request identifier attached to all model serving requests.
system,__internal_logging,payload_logs,client_request_id,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The user-provided request identifier that can be specified in the model serving request body.
system,__internal_logging,payload_logs,request_time,5,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The timestamp at which the request is received.
system,__internal_logging,payload_logs,status_code,6,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The HTTP status code that was returned from the model.
system,__internal_logging,payload_logs,sampling_fraction,7,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,"The sampling fraction used in the event that the request was down-sampled. This value is between 0 and 1, where 1 represents that 100% of incoming requests were included."
system,__internal_logging,payload_logs,execution_duration_ms,8,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The time in milliseconds for which the model performed inference. This does not include overhead network latencies and only represents the time it took for the model to generate predictions.
system,__internal_logging,payload_logs,request,9,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The raw request JSON body that was sent to the model serving endpoint.
system,__internal_logging,payload_logs,response,10,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The raw response JSON body that was returned by the model serving endpoint.
system,__internal_logging,payload_logs,logging_error_codes,11,null,YES,array<string>,ARRAY,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The errors that occurred when the data could not be logged. Error codes include MAX_REQUEST_SIZE_EXCEEDED and MAX_RESPONSE_SIZE_EXCEEDED.
system,__internal_logging,payload_logs,served_entity_id,12,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The unique ID of the served entity.
system,__internal_logging,payload_logs,endpoint_table_id,13,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,ID of the individual customer owned inference table / application system table.
system,__internal_logging,payload_logs,requester,14,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ID of the user or service principal whose permissions are used for the invocation request of the serving endpoint. This field returns NULL for route-optimized custom model endpoints.
system,access,assistant_events,account_id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,ID of the account.
system,access,assistant_events,workspace_id,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,ID of the workspace.
system,access,assistant_events,event_id,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A unique ID for this event.
system,access,assistant_events,event_time,3,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Time that the event happened. Timezone information is recorded at the end of the value with +00:00 representing UTC.
system,access,assistant_events,event_date,4,null,YES,date,DATE,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date that the event happened.
system,access,assistant_events,user_agent,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Origination of request.
system,access,assistant_events,initiated_by,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Email of the user initiating the request.
system,access,audit,account_id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The Databricks account identifier associated with the audit event.
system,access,audit,workspace_id,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,"The Databricks workspace in which the audit event took place. For account-level events, the workspace_id will be 0."
system,access,audit,version,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Audit log schema version
system,access,audit,event_time,3,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Timestamp of the event
system,access,audit,event_date,4,null,YES,date,DATE,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The calendar date when the event or action occurred. Useful for filtering and aggregating events by day.
system,access,audit,source_ip_address,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The IP address from which the request originated.
system,access,audit,user_agent,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,"The user agent string or identifier describing the client, browser, or tool that initiated the request (e.g., web browser, API client, CLI)"
system,access,audit,session_id,7,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for the session in which the request was made. Sessions group related actions by a user or service over a period of time
system,access,audit,user_identity,8,null,YES,"struct<email:string,subject_name:string>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A map of key/value pairs that can be used to identify the person or service principal that initiated the request. Contains keys such as email and subject_name. An email of System-User is used for background system tasks.
system,access,audit,service_name,9,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The name of the Databricks service that generated the audit event. See [service documentation](https://docs.databricks.com/aws/admin/account-settings/audit-logs#audit-log-services) for details.
system,access,audit,action_name,10,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The name of the action that has been performed as part of the audit event. Action names vary depending on the Databricks service (service_name). See [documentation of actions per service](https://docs.databricks.com/aws/admin/account-settings/audit-logs) for details.
system,access,audit,request_id,11,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A unique identifier of the request.
system,access,audit,request_params,12,null,YES,"map<string,string>",MAP,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A map of key/value pairs with the request parameters. Request parameters vary by request type. See [documentation of request parameters per action](https://docs.databricks.com/aws/admin/account-settings/audit-logs) for details.
system,access,audit,response,13,null,YES,"struct<status_code:int,error_message:string,result:string>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,"Struct of response, includes status_code, error_messages, and where applicable a result string. status_code is an HTTP status code."
system,access,audit,audit_level,14,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Indicates whether the audit event is at the workspace or account level. Either `ACCOUNT_LEVEL` or `WORKSPACE_LEVEL`.
system,access,audit,event_id,15,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A unique identifier of the audit event.
system,access,audit,identity_metadata,16,null,YES,"struct<run_by:string,run_as:string,acting_resource:string>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,A struct with the identities from the audit event. This includes `run_by` (the identity who initiated the event) and `run_as` (the identity being used for authorisation purposes). See [Auditing group dedicated compute activity documentation](https://docs.databricks.com/aws/compute/group-access#auditing-group-dedicated-compute-activity) for more details.
system,access,clean_room_events,account_id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ID of the Databricks account.
system,access,clean_room_events,metastore_id,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ID of the Unity Catalog metastore.
system,access,clean_room_events,event_id,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ID of the clean room event
system,access,clean_room_events,clean_room_name,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Name of the clean room associated with the event
system,access,clean_room_events,central_clean_room_id,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ID of central clean room
system,access,clean_room_events,initiator_global_metastore_id,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Global metastore ID of the collaborator who initiated the event
system,access,clean_room_events,event_type,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The type of the event. See [Logged clean room events](https://docs.databricks.com/en/admin/system-tables/clean-rooms.html#events).
system,access,clean_room_events,clean_room_created_metadata,7,null,YES,"struct<collaborators:array<struct<collaborator_global_metastore_id:string,collaborator_alias:string>>,egress_network_policy:struct<internet_access:struct<restriction_mode:string,allowed_internet_destinations:array<struct<destination:string,type:string,protocol:string>>>>,compliance_profile:struct<is_enabled:boolean,compliance_standards:array<string>>>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type CLEAN_ROOM_CREATED
system,access,clean_room_events,clean_room_deleted_metadata,8,null,YES,struct<central_clean_room_id:string>,STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type CLEAN_ROOM_DELETED
system,access,clean_room_events,run_notebook_started_metadata,9,null,YES,"struct<notebook_name:string,notebook_checksum:string,run_id:string,notebook_etag:string,notebook_update_time:timestamp>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type RUN_NOTEBOOK_STARTED
system,access,clean_room_events,run_notebook_completed_metadata,10,null,YES,"struct<notebook_name:string,run_id:string,state:string,duration_in_seconds:int,output_schema:struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp,assets_added:array<struct<name:string,data_object_type:string>>>>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type RUN_NOTEBOOK_COMPLETED
system,access,clean_room_events,clean_room_assets_updated_metadata,11,null,YES,"struct<added_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,updated_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,removed_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type CLEAN_ROOM_ASSETS_UPDATED
system,access,clean_room_events,event_time,12,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Timestamp when the event took place
system,access,clean_room_events,output_schema_deleted_metadata,13,null,YES,"struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type OUTPUT_SCHEMA_DELETED
system,access,clean_room_events,initiator_collaborator_alias,14,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The alias of the collaborator who initiated the event
system,access,clean_room_events,asset_review_created_metadata,15,null,YES,"struct<asset_name:string,data_object_type:string,review_state:string,review_sub_reason:string,auto_approval_rule_id:string,notebook_metadata:struct<etag:string>>",STRUCT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The metadata of the event type ASSET_REVIEW_CREATED
system,access,column_lineage,account_id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The id of the Databricks account.
system,access,column_lineage,metastore_id,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The id of the Unity Catalog metastore.
system,access,column_lineage,workspace_id,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The id of the workspace
system,access,column_lineage,entity_type,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,"The type of entity the lineage transaction was captured from. The supported value is NOTEBOOK, JOB, PIPELINE, DASHBOARD_V3 (AI/BI Dashboard), DBSQL_DASHBOARD (Legacy dashboard), DBSQL_QUERY, OR NULL."
