Audit log system table schema,,,,
system.access.audit,https://docs.databricks.com/aws/en/admin/system-tables/audit-logs,,,
Column name,Data type,Description,Example,
account_id,string,ID of the account,23e22ba4-87b9-4cc2-9770-d10b894bxx,
workspace_id,string,ID of the workspace,1234567890123456,
version,string,Audit log schema version,2,
event_time,timestamp,Timestamp of the event. Timezone information is recorded at the end of the value with +00:00 representing UTC timezone.,2023-01-01T01:01:01.123+00:00,
event_date,date,Calendar date the action took place,2023-01-01,
source_ip_address,string,IP address where the request originated,10.30.0.242,
user_agent,string,Origination of request,Apache-HttpClient/4.5.13 (Java/1.8.0_345),
session_id,string,ID of the session where the request came from,123456789,
user_identity,struct,Identity of user initiating request,"{""email"": ""user@domain.com"", ""subjectName"": null}",
service_name,string,Service name initiating request,unityCatalog,
action_name,string,Category of the event captured in audit log,getTable,
request_id,string,ID of request,ServiceMain-4529754264,
request_params,map,Map of key values containing all the request parameters. Depends on request type,"[[""full_name_arg"", ""user.chat.messages""], [""workspace_id"", ""123456789""], [""metastore_id"", ""123456789""]]",
response,struct,Struct of response return values,"{""statusCode"": 200, ""errorMessage"": null, ""result"": null}",
audit_level,string,Workspace or account level event,ACCOUNT_LEVEL,
event_id,string,ID of the event,34ac703c772f3549dcc8671f654950f0,
identity_metadata,struct,"Identities involved in the action, including run_by and run_as. See Auditing group dedicated compute activity.",{run_by: example@email.com; run_as: example@email.com;,
Table lineage schema,,,,
system.access.table_lineage,https://docs.databricks.com/aws/en/admin/system-tables/lineage,,,
Column name,Data type,Description,Example,
account_id,string,The ID of the Databricks account.,7af234db-66d7-4db3-bbf0-956098224879,
metastore_id,string,The ID of the Unity Catalog metastore.,5a31ba44-bbf4-4174-bf33-e1fa078e6765,
workspace_id,string,The ID of the workspace,123456789012345,
entity_type,string,"The type of entity associated with the lineage record, if any. The value is NOTEBOOK, JOB, PIPELINE, DASHBOARD_V3, DBSQL_DASHBOARD (legacy dashboard), DBSQL_QUERY, or NULL.
Note: please see entity_metadata column for information on all entities involved in the lineage record.",JOB,
entity_id,string,"The ID of the entity associated with the lineage record, or NULL.
Note: please see entity_metadata column for information on all entities involved in the lineage record.",417306252667357,
entity_run_id,string,"The unique run ID of the entity associated with the lineage record, or NULL.
Note: please see entity_metadata column for information on all entities involved in the lineage record.",688612062233399,
source_table_full_name,string,Three-part name to identify the source table.,catalog.schema.table,
source_table_catalog,string,The catalog of the source table.,catalog,
source_table_schema,string,The schema of the source table.,schema,
source_table_name,string,The name of the source table.,table,
source_path,string,"Location in cloud storage of the source table, or the path if it's reading from cloud storage directly.",s3://mybucket/table1,
source_type,string,"The type of the source. The value is TABLE, PATH, VIEW, MATERIALIZED_VIEW, METRIC_VIEW, or STREAMING_TABLE.",TABLE,
target_table_full_name,string,Three-part name to identify the target table.,catalog.schema.table,
target_table_catalog,string,The catalog of the target table.,catalog,
target_table_schema,string,The schema of the target table.,schema,
target_table_name,string,The name of the target table.,table,
